model,lgbm_config_id,feature_set,params,used_features,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,error,abs_error,ape_%
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2024,2024Q4,2024-12-31,2017Q1,2023Q4,150.147246,162.8679610193261,12.720715019326093,12.720715019326093,8.472160068341243
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2024,2024Q1,2024-03-31,2017Q1,2023Q4,137.782821,133.23934517864853,-4.543475821351478,4.543475821351478,3.297563359768543
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2024,2024Q2,2024-06-30,2017Q1,2023Q4,129.838908,124.9314029937051,-4.9075050062948975,4.9075050062948975,3.7796875234770897
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2024,2024Q3,2024-09-30,2017Q1,2023Q4,142.996746,165.484543975224,22.487797975223998,22.487797975223998,15.726090700849932
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2024,2024Q4,2024-12-31,2017Q1,2023Q4,193.187885,192.4963539568688,-0.6915310431311923,0.6915310431311923,0.3579577690035751
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,117.72481,121.98109767269916,4.256287672699159,4.256287672699159,3.6154551217361566
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,107.457736,119.42072171591684,11.962985715916844,11.962985715916844,11.13273567937151
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,129.634947,125.63767414050909,-3.99727285949092,3.99727285949092,3.083484007974269
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,151.739909,150.39380149813132,-1.346107501868687,1.346107501868687,0.8871150053666415
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,120.65094,152.73000607264936,32.079066072649354,32.079066072649354,26.58832668245217
