model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,best_feature_set,model_params,used_exog,error,abs_error,ape_%
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,113.162683,119.37511119213288,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,6.212428192132876,6.212428192132876,5.489820519837689
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,154.855532,135.49059201576733,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-19.364939984232677,19.364939984232677,12.50516512657273
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,141.706795,140.7731001100796,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-0.933694889920389,0.933694889920389,0.6588921088225791
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q1,2023-03-31,2017Q1,2022Q4,116.332724,105.9488757317749,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-10.383848268225094,10.383848268225094,8.925990822861756
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q2,2023-06-30,2017Q1,2022Q4,115.624451,86.87378039011027,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-28.750670609889724,28.750670609889724,24.865562916177414
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q3,2023-09-30,2017Q1,2022Q4,112.542415,111.6857219300762,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-0.8566930699238071,0.8566930699238071,0.7612179549584102
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q4,2023-12-31,2017Q1,2022Q4,143.93374,119.5507525027528,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-24.3829874972472,24.3829874972472,16.940425154829715
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q1,2024-03-31,2017Q1,2023Q4,119.399194,113.6161856151642,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-5.783008384835796,5.783008384835796,4.84342330220068
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q2,2024-06-30,2017Q1,2023Q4,117.607516,98.08637064171825,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-19.521145358281757,19.521145358281757,16.59855256043479
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q3,2024-09-30,2017Q1,2023Q4,115.711914,118.38527774703668,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,2.6733637470366887,2.6733637470366887,2.3103617031489847
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q4,2024-12-31,2017Q1,2023Q4,138.794634,130.10023898148282,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,-8.694395018517184,8.694395018517184,6.264215530491751
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,118.54008063872554,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,10.679256638725548,10.679256638725548,9.90095962805323
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,105.47094533964021,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,12.264749339640204,12.264749339640204,13.158727494511421
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,2017Q1,2024Q4,84.744027,122.10966192463283,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,37.36563492463283,37.36563492463283,44.09235228417081
prophet_individual,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,136.12462371409666,no_exog,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",,23.501596714096664,23.501596714096664,20.867488061830077
prophet_individual,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,58.39633,53.02281173412955,price_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4,-5.373518265870452,5.373518265870452,9.201808171627313
