model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,used_exog,error,abs_error,ape_%
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,146.0834213915665,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,12.56236739156651,12.56236739156651,9.40852922833167
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,138.33950773698672,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-5.8712292630132765,5.8712292630132765,4.07128441692471
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,167.3446502244091,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-15.366189775590897,15.366189775590897,8.410113913104937
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,176.74361610688723,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-4.412853893112782,4.412853893112782,2.4359350196616116
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,102.03400502235877,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,0.31674102235876944,0.31674102235876944,0.3113935726375509
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,105.75829583489386,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,19.705944834893856,19.705944834893856,22.899949398121446
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,115.4856982006915,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-7.8918847993084995,7.8918847993084995,6.396530558803781
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,92.59974060539834,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-17.813668394601663,17.813668394601663,16.13360963667163
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,84.48643793124005,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-17.230826068759953,17.230826068759953,16.939922871657217
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,100.08279571654495,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,14.030444716544949,14.030444716544949,16.30454549294644
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,105.20151621807479,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-18.176066781925215,18.176066781925215,14.732065858289033
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,85.44446619789021,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-24.968942802109794,24.968942802109794,22.61404935165963
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,97.39635200924629,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-4.320911990753714,4.320911990753714,4.247963247176718
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,107.69869643235435,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,21.64634543235435,21.64634543235435,25.154856527225327
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,118.583933804925,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-4.793649195075005,4.793649195075005,3.885348601029901
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,108.87665118160615,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-1.536757818393852,1.536757818393852,1.3918217291831392
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,102.64312066106146,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,8.781303661061457,8.781303661061457,9.355565385082475
