region,sales_product_name,period_end,sales_cumulative_thousand_rub,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,sales_quarter_thousand_rub,sales_product_code,source_file
Российская Федерация,Аудиоаппаратура,2017-09-30,22875850.8,2017,3,январь-сентябрь,False,2017,3,RF_total,G99,Прочее,7875895.1000000015,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2017-12-31,32696326.8,2017,4,январь-декабрь,False,2017,4,RF_total,G99,Прочее,9820476.0,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-03-31,7597191.4,2018,1,январь-март,False,2018,1,RF_total,G99,Прочее,7597191.4,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-06-30,15270787.7,2018,2,январь-июнь,False,2018,2,RF_total,G99,Прочее,7673596.299999999,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-09-30,23964901.4,2018,3,январь-сентябрь,False,2018,3,RF_total,G99,Прочее,8694113.7,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-12-31,33648784.8,2018,4,январь-декабрь,False,2018,4,RF_total,G99,Прочее,9683883.399999999,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-03-31,8652509.2,2019,1,январь-март,False,2019,1,RF_total,G99,Прочее,8652509.2,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-06-30,17398784.8,2019,2,январь-июнь,False,2019,2,RF_total,G99,Прочее,8746275.600000001,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-09-30,26859655.6,2019,3,январь-сентябрь,False,2019,3,RF_total,G99,Прочее,9460870.8,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-12-31,38095280.6,2019,4,январь-декабрь,False,2019,4,RF_total,G99,Прочее,11235625.0,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-03-31,10255077.5,2020,1,январь-март,False,2020,1,RF_total,G99,Прочее,10255077.5,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-06-30,18751204.6,2020,2,январь-июнь,False,2020,2,RF_total,G99,Прочее,8496127.100000001,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-09-30,29776018.2,2020,3,январь-сентябрь,False,2020,3,RF_total,G99,Прочее,11024813.599999998,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-12-31,44480517.6,2020,4,январь-декабрь,False,2020,4,RF_total,G99,Прочее,14704499.400000002,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-03-31,12044106.1,2021,1,январь-март,False,2021,1,RF_total,G99,Прочее,12044106.1,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-06-30,23525562.1,2021,2,январь-июнь,False,2021,2,RF_total,G99,Прочее,11481456.000000002,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-09-30,35746305.2,2021,3,январь-сентябрь,False,2021,3,RF_total,G99,Прочее,12220743.100000001,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-12-31,50559774.7,2021,4,январь-декабрь,False,2021,4,RF_total,G99,Прочее,14813469.5,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-03-31,12787587.9,2022,1,январь-март,False,2022,1,RF_total,G99,Прочее,12787587.9,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-06-30,24740740.7,2022,2,январь-июнь,False,2022,2,RF_total,G99,Прочее,11953152.799999999,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-09-30,37127172.9,2022,3,январь-сентябрь,False,2022,3,RF_total,G99,Прочее,12386432.2,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-12-31,53272537.3,2022,4,январь-декабрь,False,2022,4,RF_total,G99,Прочее,16145364.399999999,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-03-31,14231952.5,2023,1,январь-март,False,2023,1,RF_without_new_regions,G99,Прочее,14231952.5,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-06-30,28391222.3,2023,2,январь-июнь,False,2023,2,RF_without_new_regions,G99,Прочее,14159269.8,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-09-30,43957842.7,2023,3,январь-сентябрь,False,2023,3,RF_without_new_regions,G99,Прочее,15566620.400000002,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-12-31,65631798.4,2023,4,январь-декабрь,False,2023,4,RF_without_new_regions,G99,Прочее,21673955.699999996,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-03-31,17033369.8,2024,1,январь-март,False,2024,1,RF_without_new_regions,G99,Прочее,17033369.8,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-06-30,32656083.0,2024,2,январь-июнь,False,2024,2,RF_without_new_regions,G99,Прочее,15622713.2,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-09-30,48719201.2,2024,3,январь-сентябрь,False,2024,3,RF_without_new_regions,G99,Прочее,16063118.200000003,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-12-31,70143007.84,2024,4,январь-декабрь,False,2024,4,RF_without_new_regions,G99,Прочее,21423806.64,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-03-31,16819305.1,2025,1,январь-март,False,2025,1,RF_without_new_regions,G99,Прочее,16819305.1,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-06-30,31415824.8,2025,2,январь-июнь,False,2025,2,RF_without_new_regions,G99,Прочее,14596519.7,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-09-30,49286992.6,2025,3,январь-сентябрь,False,2025,3,RF_without_new_regions,G99,Прочее,17871167.8,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-12-31,74219477.4,2025,4,январь-декабрь,False,2025,4,RF_without_new_regions,G99,Прочее,24932484.800000004,S_аудиоаппаратура,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-03-31,394866742.23,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,394866742.23,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-06-30,845807496.2,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,450940753.97,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-09-30,1363980129.4,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,518172633.20000005,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-12-31,1886018183.6,2017,4,январь-декабрь,False,2017,4,RF_total,G10,Топливо и транспортные товары,522038054.1999998,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-03-31,436821578.0,2018,1,январь-март,False,2018,1,RF_total,G10,Топливо и транспортные товары,436821578.0,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-06-30,925100435.2,2018,2,январь-июнь,False,2018,2,RF_total,G10,Топливо и транспортные товары,488278857.20000005,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-09-30,1485849526.9,2018,3,январь-сентябрь,False,2018,3,RF_total,G10,Топливо и транспортные товары,560749091.7,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-12-31,2030461312.7,2018,4,январь-декабрь,False,2018,4,RF_total,G10,Топливо и транспортные товары,544611785.8,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-03-31,471216420.1,2019,1,январь-март,False,2019,1,RF_total,G10,Топливо и транспортные товары,471216420.1,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-06-30,987102173.6,2019,2,январь-июнь,False,2019,2,RF_total,G10,Топливо и транспортные товары,515885753.5,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-09-30,1563149852.3,2019,3,январь-сентябрь,False,2019,3,RF_total,G10,Топливо и транспортные товары,576047678.6999999,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-12-31,2086175417.29,2019,4,январь-декабрь,False,2019,4,RF_total,G10,Топливо и транспортные товары,523025564.99,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-03-31,473244155.5,2020,1,январь-март,False,2020,1,RF_total,G10,Топливо и транспортные товары,473244155.5,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-06-30,876315870.1,2020,2,январь-июнь,False,2020,2,RF_total,G10,Топливо и транспортные товары,403071714.6,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-09-30,1463109172.3,2020,3,январь-сентябрь,False,2020,3,RF_total,G10,Топливо и транспортные товары,586793302.1999999,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-12-31,1994881794.2,2020,4,январь-декабрь,False,2020,4,RF_total,G10,Топливо и транспортные товары,531772621.9000001,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-03-31,468293709.2,2021,1,январь-март,False,2021,1,RF_total,G10,Топливо и транспортные товары,468293709.2,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-06-30,992542882.9,2021,2,январь-июнь,False,2021,2,RF_total,G10,Топливо и транспортные товары,524249173.7,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-09-30,1626288495.5,2021,3,январь-сентябрь,False,2021,3,RF_total,G10,Топливо и транспортные товары,633745612.6,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-12-31,2213300920.2,2021,4,январь-декабрь,False,2021,4,RF_total,G10,Топливо и транспортные товары,587012424.6999998,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Бензины автомобильные,2024-03-31,608916545.3,2024,1,январь-март,False,2024,1,RF_without_new_regions,G10,Топливо и транспортные товары,608916545.3,S_бензины_автомобильные,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2017-03-31,292195665.7,2017,1,январь-март,False,2017,1,RF_total,G99,Прочее,292195665.7,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2017-06-30,473493603.7,2017,2,январь-июнь,False,2017,2,RF_total,G99,Прочее,181297938.0,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2017-09-30,729010965.4,2017,3,январь-сентябрь,False,2017,3,RF_total,G99,Прочее,255517361.7,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2017-12-31,910490269.6,2017,4,январь-декабрь,False,2017,4,RF_total,G99,Прочее,181479304.20000005,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2018-03-31,212742446.3,2018,1,январь-март,False,2018,1,RF_total,G99,Прочее,212742446.3,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2018-06-30,374577391.2,2018,2,январь-июнь,False,2018,2,RF_total,G99,Прочее,161834944.89999998,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2018-09-30,601672449.1,2018,3,январь-сентябрь,False,2018,3,RF_total,G99,Прочее,227095057.90000004,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2018-12-31,811609054.0,2018,4,январь-декабрь,False,2018,4,RF_total,G99,Прочее,209936604.89999998,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2019-03-31,193304626.7,2019,1,январь-март,False,2019,1,RF_total,G99,Прочее,193304626.7,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2019-06-30,407663937.2,2019,2,январь-июнь,False,2019,2,RF_total,G99,Прочее,214359310.5,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2019-09-30,638320962.8,2019,3,январь-сентябрь,False,2019,3,RF_total,G99,Прочее,230657025.59999996,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2019-12-31,860064725.2,2019,4,январь-декабрь,False,2019,4,RF_total,G99,Прочее,221743762.4000001,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2020-03-31,208845085.0,2020,1,январь-март,False,2020,1,RF_total,G99,Прочее,208845085.0,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2020-06-30,385959859.0,2020,2,январь-июнь,False,2020,2,RF_total,G99,Прочее,177114774.0,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2020-09-30,616591419.9,2020,3,январь-сентябрь,False,2020,3,RF_total,G99,Прочее,230631560.89999998,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2020-12-31,848013376.3,2020,4,январь-декабрь,False,2020,4,RF_total,G99,Прочее,231421956.39999998,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2021-03-31,216070632.0,2021,1,январь-март,False,2021,1,RF_total,G99,Прочее,216070632.0,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
