region,sales_product_name,period_end,physical_volume_cumulative_yoy_index,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,source_file
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-12-31,111.52,2025,4,январь-декабрь,False,2025,4,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-03-31,101.88,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-06-30,100.34,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-09-30,101.24,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2017-12-31,98.0,2017,4,январь-декабрь,False,2017,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-03-31,104.31,2018,1,январь-март,False,2018,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-06-30,101.07,2018,2,январь-июнь,False,2018,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-09-30,99.71,2018,3,январь-сентябрь,False,2018,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2018-12-31,97.92,2018,4,январь-декабрь,False,2018,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-03-31,98.42,2019,1,январь-март,False,2019,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-06-30,99.99,2019,2,январь-июнь,False,2019,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-09-30,100.02,2019,3,январь-сентябрь,False,2019,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2019-12-31,98.27,2019,4,январь-декабрь,False,2019,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-03-31,98.88,2020,1,январь-март,False,2020,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-06-30,87.41,2020,2,январь-июнь,False,2020,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-09-30,91.76,2020,3,январь-сентябрь,False,2020,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2020-12-31,93.07,2020,4,январь-декабрь,False,2020,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-03-31,94.96,2021,1,январь-март,False,2021,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-06-30,107.59,2021,2,январь-июнь,False,2021,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-09-30,105.14,2021,3,январь-сентябрь,False,2021,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2021-12-31,104.79,2021,4,январь-декабрь,False,2021,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2022-03-31,106.75,2022,1,январь-март,False,2022,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2022-06-30,104.0,2022,2,январь-июнь,False,2022,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2022-09-30,102.58,2022,3,январь-сентябрь,False,2022,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Бензины автомобильные,2022-12-31,99.8,2022,4,январь-декабрь,False,2022,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Бензины автомобильные,2023-03-31,97.25,2023,1,январь-март,False,2023,1,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Бензины автомобильные,2023-06-30,102.97,2023,2,январь-июнь,False,2023,2,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Бензины автомобильные,2023-09-30,103.06,2023,3,январь-сентябрь,False,2023,3,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Бензины автомобильные,2023-12-31,103.73,2023,4,январь-декабрь,False,2023,4,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-03-31,102.4,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-06-30,101.73,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-09-30,100.06,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-12-31,103.8,2017,4,январь-декабрь,False,2017,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2018-03-31,112.25,2018,1,январь-март,False,2018,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2018-06-30,103.14,2018,2,январь-июнь,False,2018,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2018-09-30,102.69,2018,3,январь-сентябрь,False,2018,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2018-12-31,100.97,2018,4,январь-декабрь,False,2018,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2019-03-31,107.88,2019,1,январь-март,False,2019,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2019-06-30,109.73,2019,2,январь-июнь,False,2019,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2019-09-30,113.16,2019,3,январь-сентябрь,False,2019,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2019-12-31,110.14,2019,4,январь-декабрь,False,2019,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2020-03-31,110.34,2020,1,январь-март,False,2020,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2020-06-30,98.48,2020,2,январь-июнь,False,2020,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2020-09-30,101.0,2020,3,январь-сентябрь,False,2020,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2020-12-31,105.04,2020,4,январь-декабрь,False,2020,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2021-03-31,93.7,2021,1,январь-март,False,2021,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2021-06-30,108.76,2021,2,январь-июнь,False,2021,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2021-09-30,103.13,2021,3,январь-сентябрь,False,2021,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2021-12-31,100.35,2021,4,январь-декабрь,False,2021,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2022-03-31,105.19,2022,1,январь-март,False,2022,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2022-06-30,102.53,2022,2,январь-июнь,False,2022,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2022-09-30,106.86,2022,3,январь-сентябрь,False,2022,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Газовое моторное топливо,2022-12-31,107.55,2022,4,январь-декабрь,False,2022,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Газовое моторное топливо,2023-03-31,125.88,2023,1,январь-март,False,2023,1,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Газовое моторное топливо,2023-06-30,113.05,2023,2,январь-июнь,False,2023,2,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Газовое моторное топливо,2023-09-30,108.74,2023,3,январь-сентябрь,False,2023,3,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Газовое моторное топливо,2023-12-31,102.78,2023,4,январь-декабрь,False,2023,4,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2017-03-31,103.56,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2017-06-30,104.35,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
