buy_ability_product_name,year,buy_ability_value,buy_ability_section,product_group_code,product_group_name
Маргарин,2018,262.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2019,265.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2020,263.9,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2021,244.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2022,207.9,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2023,224.3,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2024,263.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2025,267.5,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Молоко питьевое5), л",2017,513.9,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2018,530.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2019,536.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2020,527.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2021,565.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2022,571.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2023,639.9,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2024,707.4,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Молоко питьевое5), л",2025,699.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2017,107.4,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2018,109.7,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2019,111.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2020,108.8,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2021,115.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2022,116.5,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2023,130.7,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Творог,2024,150.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
