product_name,group_code,group_name,quarter,demand_2025,price_2025,demand_2024,price_2024,demand_yoy_change_%,price_yoy_change_%,actual_target_demand_index,forecast_target_demand_index,forecast_error,abs_forecast_error
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",1,76.485111,175.315162,79.163725,158.684053,-3.3836381499228287,10.480642941480692,76.485111,77.22354534838938,0.7384343483893758,0.7384343483893758
Чай,G05,"Бакалея, масло, сахар, чай, соль",2,81.935456,179.768551,85.535858,162.031073,-4.209231174135183,10.946960772147705,81.935456,82.14880155131516,0.21334555131515742,0.21334555131515742
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",1,94.208871,177.398259,98.353946,159.516236,-4.2144470746501534,11.210158569689423,94.208871,98.15154483053335,3.9426738305333515,3.9426738305333515
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",3,73.741026,180.961257,77.154287,164.509613,-4.4239421200276166,10.00041499094645,73.741026,76.79899168571826,3.0579656857182584,3.0579656857182584
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",1,106.372638,177.398259,111.705285,159.516236,-4.773853806469415,11.210158569689423,106.372638,106.70669495469292,0.33405695469292596,0.33405695469292596
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2,117.025071,180.929035,123.067904,164.223397,-4.910161629144185,10.172507879617173,117.025071,118.29309001937172,1.268019019371721,1.268019019371721
Чай,G05,"Бакалея, масло, сахар, чай, соль",1,90.845517,175.315162,95.983564,158.684053,-5.353048778226239,10.480642941480692,90.845517,88.06704458025979,-2.7784724197402113,2.7784724197402113
Чай,G05,"Бакалея, масло, сахар, чай, соль",3,113.144637,180.961257,120.620873,164.509613,-6.198127914395048,10.00041499094645,113.144637,113.03054708874464,-0.11408991125536261,0.11408991125536261
Свежие овощи,G04,"Овощи, фрукты и картофель",1,134.500103,171.843563,147.7011,138.017221,-8.937642983024501,24.508783581434365,134.500103,143.77953418039536,9.279431180395363,9.279431180395363
Свежие фрукты,G04,"Овощи, фрукты и картофель",1,117.72481,171.843563,129.992777,138.017221,-9.43742204999589,24.508783581434365,117.72481,126.31002513140326,8.58521513140326,8.58521513140326
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,1,107.860824,169.938946,119.399194,154.340318,-9.663691699627387,10.106644979181649,107.860824,117.3448559364694,9.484031936469407,9.484031936469407
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",1,120.65094,171.817267,137.782821,168.787281,-12.43397462445627,1.7951506665955357,120.65094,147.34989016276324,26.69895016276324,26.69895016276324
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",3,123.269423,174.389125,142.996746,170.107229,-13.795644692502302,2.517174622837468,123.269423,152.16175262178743,28.892329621787425,28.892329621787425
Свежие овощи,G04,"Овощи, фрукты и картофель",2,121.298853,198.231342,141.196121,149.391743,-14.091936704125185,32.69230147478768,121.298853,143.72488133639956,22.42602833639957,22.42602833639957
Свежие фрукты,G04,"Овощи, фрукты и картофель",2,107.457736,198.231342,129.528515,149.391743,-17.039320646886132,32.69230147478768,107.457736,127.91864151562018,20.460905515620183,20.460905515620183
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2,107.642837,173.339698,129.838908,169.620212,-17.095084471905757,2.1928318306782857,107.642837,123.2878000266014,15.644963026601403,15.644963026601403
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,4,112.623027,169.266054,138.794634,169.177926,-18.85635362531379,0.052091902344271156,112.623027,110.71264791045824,-1.910379089541749,1.910379089541749
Автомобили легковые,G10,Топливо и транспортные товары,3,182.71084,204.261567,228.395741,187.021511,-20.00251878602237,9.218220892248063,182.71084,187.2098858325683,4.499045832568299,4.499045832568299
Автомобили легковые,G10,Топливо и транспортные товары,1,133.521054,199.112153,167.540049,178.301713,-20.30499286770533,11.671475079995446,133.521054,132.37212361336276,-1.1489303866372325,1.1489303866372325
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2,93.206196,169.423847,117.607516,155.495076,-20.74809572544666,8.957692653881839,93.206196,108.54427920374911,15.338083203749107,15.338083203749107
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",4,146.997427,176.171152,193.187885,171.331148,-23.90960385533493,2.8249410901046392,146.997427,161.04206412333838,14.04463712333839,14.04463712333839
Автомобили легковые,G10,Топливо и транспортные товары,2,144.210737,201.754218,194.910813,181.150227,-26.011936033533452,11.37398022691962,144.210737,170.27035281947516,26.05961581947517,26.05961581947517
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,3,84.744027,166.740173,115.711914,156.274863,-26.762920022220005,6.696732794448194,84.744027,112.4157552036678,27.671728203667797,27.671728203667797
