product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_days_mean,-21.062292240866544,17.175898342586592,-2.903424627157651e-14,51.52662904236778,12.41001591722498,167.1673186428634,176.98670072308823
Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_value_mean_thousand_rub,47.759771764322316,42.89347114302788,2.6951621011590007e-14,77.8721561088739,30.991605155823464,167.1673186428634,176.98670072308823
Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,consumer_price_index,-31.313916505940018,27.869462229034404,-5.2678168340835013e-14,61.39317369403013,47.819074691821385,128.90359145490666,138.7229735351315
Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,income_index,19.79098853096738,16.80074921036515,-4.410265256442001e-15,34.03454956548823,28.827118182855788,128.90359145490666,138.7229735351315
Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_days_mean,-6.214723523846215,5.067988718993886,-8.330501039946001e-15,15.203651623102061,8.69577349929631,128.90359145490666,138.7229735351315
Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_value_mean_thousand_rub,9.51205130276665,8.54285694830333,5.819099991138752e-15,15.509369425379045,14.658033626026517,128.90359145490666,138.7229735351315
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,-19.72780665910438,17.368466806401543,1.1546319456101628e-14,45.020100253107906,22.467428195362324,192.76779388963547,203.73767631344927
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,5.191697536878905,4.148232617563391,-1.9984014443252818e-15,16.121110988897634,5.366053291382885,192.76779388963547,203.73767631344927
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,-2.342708940191177,1.9124029286571775,-4.773959005888173e-15,5.889683421265884,2.47383813200883,192.76779388963547,203.73767631344927
"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,61.40056417647103,53.87599307430665,-1.4210854715202004e-14,124.96388328291859,69.69268038124596,192.76779388963547,203.73767631344927
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,consumer_price_index,1.9430034680336459,1.726791076573499,-1.8041124150158794e-15,3.8862383023448936,13.712431189270404,186.24543167650134,197.21531410031514
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,income_index,-7.651233352599539,6.113433136731402,2.9976021664879227e-15,23.758391393764573,48.54671323874353,186.24543167650134,197.21531410031514
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_days_mean,-4.872380991579084,3.977427805038816,-9.936496070395151e-15,12.249401133822694,31.584715618933267,186.24543167650134,197.21531410031514
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,-0.8835088256882759,0.7752357981119473,1.8041124150158794e-16,1.7981380994386127,6.156139953052815,186.24543167650134,197.21531410031514
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,consumer_price_index,-2.835711940811492,2.5381341446731653,-3.4139358007223564e-15,4.257564284753418,13.170207355481978,186.68629499918285,197.65617742299665
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,income_index,6.211597385297241,4.963145618138596,-2.4424906541753444e-15,19.2880748840625,25.753428778979764,186.68629499918285,197.65617742299665
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_days_mean,-4.453955837721937,3.635858489306859,-9.2148511043888e-15,11.197460088379822,18.86622514411149,186.68629499918285,197.65617742299665
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,9.27077010338893,8.134647500113218,-2.220446049250313e-15,18.868091013186685,42.210138721426766,186.68629499918285,197.65617742299665
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,consumer_price_index,-3.163297225428388,2.9026062197685434,-1.1657341758564144e-15,5.123923470153547,11.449287948050454,172.0492207310479,183.0191031548617
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,income_index,11.311338501152493,9.037903881239874,-4.440892098500626e-15,35.123645419392936,35.649880193314516,172.0492207310479,183.0191031548617
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,stock_days_mean,0.2335375344100035,0.19064163588355146,4.683753385137379e-16,0.5871246406502653,0.7519831554320242,172.0492207310479,183.0191031548617
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,-15.067161443222068,13.220697504202443,3.552713678800501e-15,30.66504403093434,52.148848703203,172.0492207310479,183.0191031548617
Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,0.26332545333382884,0.23183314164317131,-1.5265566588595902e-16,0.6009253087855567,7.599948253348653,185.54050121649047,196.51038364030427
Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,0.9187501993566267,0.7340931395350894,-3.469446951953614e-16,2.85287689232453,24.065022947374892,185.54050121649047,196.51038364030427
Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,-0.04390712394086706,0.03584231526711791,-8.847089727481716e-17,0.1103846301661734,1.1749818830026113,185.54050121649047,196.51038364030427
Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,-2.334817551388516,2.04868824766566,6.106226635438361e-16,4.751876011107257,67.16004691627384,185.54050121649047,196.51038364030427
Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,0.560814978700332,0.49374451556652227,-3.3306690738754696e-16,1.2798151867978491,7.715446159607269,236.036693198036,247.0065756218498
Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,5.026370526487804,4.016134225429225,-1.887379141862766e-15,15.607742275669425,62.757694332060765,236.036693198036,247.0065756218498
Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,1.2533719662350715,1.0231540836349702,2.525757381022231e-15,3.151037657120017,15.988208468929013,236.036693198036,247.0065756218498
Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,0.9874013285423816,0.8663963898640521,-2.220446049250313e-16,2.0095825832924894,13.53865103940295,236.036693198036,247.0065756218498
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,consumer_price_index,-19.21035728403947,17.194434685787684,-2.2648549702353193e-14,28.842609114405878,35.47861767551967,175.71220599989886,186.68208842371266
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,income_index,10.734442367937929,8.576956505213516,-4.440892098500626e-15,33.33228401465885,17.697503071709253,175.71220599989886,186.68208842371266
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_days_mean,1.212495762627864,0.9897859728339625,2.4841240175987878e-15,3.04827290705678,2.042302567806681,175.71220599989886,186.68208842371266
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,24.73418842288316,21.70304103949096,-5.773159728050814e-15,50.33960642920813,44.781576684964385,175.71220599989886,186.68208842371266
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,consumer_price_index,-47.84404438488085,41.860679073431626,-1.1546319456101628e-14,100.55915357499715,51.09157967689995,179.71423160945855,190.68411403327235
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,income_index,23.0226191211448,18.395366621739896,-8.881784197001252e-15,71.48917968942712,22.451817797597982,179.71423160945855,190.68411403327235
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_days_mean,1.5082258164299451,1.2311966795933316,3.0253577421035516e-15,3.791752545165835,1.5026938082641252,179.71423160945855,190.68411403327235
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,23.30089452403822,20.44539571972357,-5.773159728050814e-15,47.422532720070876,24.95390871723795,179.71423160945855,190.68411403327235
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,consumer_price_index,-13.282062250136963,11.621010565361495,-3.552713678800501e-15,27.916388649331395,38.53449474880109,133.93411484547767,144.9039972692915
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,income_index,-0.8397082431046975,0.6709376073125043,3.3306690738754696e-16,2.60743806610913,2.2247842870756926,133.93411484547767,144.9039972692915
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_days_mean,-1.8162552849193982,1.4826476590751756,-3.6637359812630166e-15,4.566153505822785,4.916360596319391,133.93411484547767,144.9039972692915
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,18.670928753897563,16.38282712427143,-4.440892098500626e-15,37.99951666372201,54.32436036780383,133.93411484547767,144.9039972692915
Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,consumer_price_index,-18.886692486509645,15.931130671091076,-7.327471962526033e-15,44.81622519048293,43.18557270279826,185.9126708033391,196.8825532271529
Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,income_index,6.8882794787877275,5.503823250454176,-2.7755575615628914e-15,21.389288804147267,14.919578781507909,185.9126708033391,196.8825532271529
Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_days_mean,-3.1799606735294685,2.5958692523605325,-6.38378239159465e-15,7.9945747155579765,7.036794979542822,185.9126708033391,196.8825532271529
Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,14.655077596237629,12.85911407603787,-3.1086244689504383e-15,29.82636121998595,34.858053536151004,185.9126708033391,196.8825532271529
Свежие фрукты,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,consumer_price_index,-19.87650128325219,16.766045164010585,-8.215650382226158e-15,47.164942095892386,43.55093597056444,181.5648271911621,192.5347096149759
Свежие фрукты,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,income_index,11.38074126613602,9.09335757656952,-4.440892098500626e-15,35.33915290404283,23.620611163849077,181.5648271911621,192.5347096149759
Свежие фрукты,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_days_mean,-3.2876581776426534,2.683785006102573,-6.661338147750939e-15,8.265331442356217,6.9713130208206495,181.5648271911621,192.5347096149759
Свежие фрукты,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,11.344639405037702,9.954366416889272,-2.886579864025407e-15,23.088878962470314,25.857139844765836,181.5648271911621,192.5347096149759
Свежий картофель,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,consumer_price_index,-22.220479524660927,18.743216321996538,-7.993605777301127e-15,52.72696714520156,24.04693388098783,231.24879995743936,242.21868238125316
Свежий картофель,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,income_index,9.326959681402744,7.452359868474354,-3.552713678800501e-15,28.961808954544665,9.56113411571834,231.24879995743936,242.21868238125316
Свежий картофель,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_days_mean,-5.044720476630234,4.118112176998481,-1.0103029524088925e-14,12.682670922707532,5.283403314219702,231.24879995743936,242.21868238125316
Свежий картофель,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,54.28293344669782,47.63062010345567,-1.1546319456101628e-14,110.47791254802534,61.108528689074134,231.24879995743936,242.21868238125316
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2017Q1,2024Q4,32,consumer_price_index,-56.07945710381278,52.06023775430019,-3.907985046680551e-14,85.98397038774132,45.6101187488401,210.3664884025132,221.336370826327
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2017Q1,2024Q4,32,income_index,16.66899097544311,13.318736612644027,-6.439293542825908e-15,51.76007494257832,11.668582102029323,210.3664884025132,221.336370826327
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2017Q1,2024Q4,32,stock_days_mean,-10.258852569712367,8.374518644804049,-2.0872192862952943e-14,25.791250831234354,7.336939021611324,210.3664884025132,221.336370826327
Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,46.02919333306497,40.38836669481983,-8.881784197001252e-15,93.67970507157347,35.38436012751923,210.3664884025132,221.336370826327
Чай,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,consumer_price_index,-11.930867154551065,10.947630507703023,-3.9968028886505635e-15,19.32567377515699,37.97130223993913,168.42804803737027,179.39793046118407
Чай,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,income_index,0.21854977058436303,0.1746240570563109,-7.979727989493313e-17,0.6786345088790967,0.6056747023188288,168.42804803737027,179.39793046118407
Чай,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,stock_days_mean,-1.9562413343007545,1.596921236221386,-3.969047313034935e-15,4.918085194862484,5.538840470663827,168.42804803737027,179.39793046118407
Чай,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,18.362449551876555,16.11215170663381,-4.440892098500626e-15,37.37169248142674,55.884182587078215,168.42804803737027,179.39793046118407
сыры,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,-18.053032157505292,15.89398635138313,1.0658141036401503e-14,41.198159108498025,23.53043163309722,193.45190959196108,204.42179201577488
сыры,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,2.507768062773925,2.0037387003743694,-8.881784197001252e-16,7.7870498015751854,2.9664575932926467,193.45190959196108,204.42179201577488
сыры,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,0.9852641646992667,0.8042920064658494,1.9984014443252818e-15,2.4770016952780765,1.1907231862914198,193.45190959196108,204.42179201577488
сыры,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,55.66634621684663,48.844497171575604,-1.3322676295501878e-14,113.29346700195693,72.31238758731871,193.45190959196108,204.42179201577488
