product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,agg_exog_columns,future_exog_mode
Молочные напитки,2025Q4,2025-12-31,2017Q1,2024Q4,,38.28787649820923,0.5905419412332407,75.98521105518522,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мука,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,98.67747766846651,90.56313596760548,106.79181936932754,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мука,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,93.42984759825288,82.56969333523331,104.29000186127244,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мука,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,104.70326109491761,91.17292497680485,118.23359721303036,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мука,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,95.36902541321017,80.04054505788683,110.6975057685335,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мясо домашней птицы,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,106.51387282055262,95.94492955839847,117.08281608270677,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мясо домашней птицы,2025Q2,2025-06-30,2017Q1,2024Q4,117.025071,105.33775451608223,91.21513166528842,119.46037736687603,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мясо домашней птицы,2025Q3,2025-09-30,2017Q1,2024Q4,110.672012,105.68517548913611,88.12413654672605,123.24621443154618,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мясо домашней птицы,2025Q4,2025-12-31,2017Q1,2024Q4,139.24154,116.42309485032234,96.49807776852599,136.34811193211868,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Мясо животных,2025Q1,2025-03-31,2017Q1,2024Q4,94.208871,99.45426479588764,94.92778640315511,103.98074318862017,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
