product_code,product_name,group_code,group_name,forecast_year,period,period_end,actual_target_demand_index,forecast_target_demand_index,raw_forecast_target_demand_index,selected_model,order,seasonal_order,calibration_type,calibration_multiplier,calibration_additive
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q1,2025-03-31,98.544241,97.8964269709833,96.945418,seasonal_naive,None,None,multiplicative,1.0098097361443457,0.9948727500000025
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q2,2025-06-30,91.355099,91.45355507822704,90.565135,seasonal_naive,None,None,multiplicative,1.0098097361443457,0.9948727500000025
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q3,2025-09-30,102.051877,101.62134445861051,100.63415,seasonal_naive,None,None,multiplicative,1.0098097361443457,0.9948727500000025
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q4,2025-12-31,126.18717,122.69417924887799,121.502274,seasonal_naive,None,None,multiplicative,1.0098097361443457,0.9948727500000025
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q1,2025-03-31,106.372638,109.62241782386737,110.00168710967503,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",multiplicative,0.9965521502826632,-0.4200745257235674
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q2,2025-06-30,117.025071,121.9597108607884,122.38166444796252,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",multiplicative,0.9965521502826632,-0.4200745257235674
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q3,2025-09-30,110.672012,113.222067707654,113.61379098478646,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",multiplicative,0.9965521502826632,-0.4200745257235674
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q4,2025-12-31,139.24154,143.74250070581346,144.239817921262,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",multiplicative,0.9965521502826632,-0.4200745257235674
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q1,2025-03-31,94.208871,96.80444315784396,96.80444315784396,sarimax,"(1, 1, 0)","(1, 0, 1, 4)",none,1.004039473511282,0.4160731139547238
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q2,2025-06-30,99.145193,99.64810903775633,99.64810903775633,sarimax,"(1, 1, 0)","(1, 0, 1, 4)",none,1.004039473511282,0.4160731139547238
