product_name,period,period_end,last_train_period,forecast_target_demand_index,forecast_lower,forecast_upper,model,order,seasonal_order
Молочные напитки,2025Q3,2025-09-30,2024Q4,71.01091173099319,34.874436675807,107.14738678617937,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q4,2025-12-31,2024Q4,53.354908262502875,17.21206171299341,89.49775481201235,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q1,2025-03-31,2025Q4,100.90441211207457,88.55355419329153,113.2552700308576,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q2,2025-06-30,2025Q4,96.35831950757985,83.88325570541551,108.83338330974419,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q3,2025-09-30,2025Q4,104.6046074743464,91.79292012172945,117.41629482696334,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q4,2025-12-31,2025Q4,122.37638459265278,109.26438287801435,135.48838630729122,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q1,2025-03-31,2025Q4,109.2856535050736,100.44758041526205,118.12372659488514,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q2,2025-06-30,2025Q4,121.44011143813282,112.18375372871165,130.69646914755398,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q3,2025-09-30,2025Q4,113.089313265761,103.75695042467414,122.42167610684787,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q4,2025-12-31,2025Q4,143.1559388864345,133.80714721685212,152.5047305560169,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q1,2025-03-31,2025Q4,96.63404447990285,91.2290432249003,102.03904573490541,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q2,2025-06-30,2025Q4,100.67640643163587,95.02935366184872,106.32345920142302,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q3,2025-09-30,2025Q4,102.33508326460564,96.0053667513391,108.66479977787219,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q4,2025-12-31,2025Q4,111.2179665255932,104.42394570412063,118.01198734706577,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q1,2025-03-31,2025Q4,144.15617693684564,117.54070304996573,170.77165082372554,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q2,2025-06-30,2025Q4,137.65689787001043,108.95222070737854,166.3615750326423,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q3,2025-09-30,2025Q4,143.54256927005292,114.17747635431823,172.90766218578761,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q4,2025-12-31,2025Q4,145.63524500705194,115.86753071848418,175.4029592956197,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q1,2025-03-31,2025Q4,131.97661859999832,104.49168361076383,159.4615535892328,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q2,2025-06-30,2025Q4,127.4675087326497,91.18135674425588,163.75366072104353,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q3,2025-09-30,2025Q4,136.72923034478612,92.59856073913764,180.8598999504346,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q4,2025-12-31,2025Q4,150.50938105955782,100.02216752060984,200.9965945985058,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q1,2025-03-31,2025Q4,128.2359433258012,91.72369262749525,164.74819402410714,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q2,2025-06-30,2025Q4,141.52614129115415,100.8564498934459,182.1958326888624,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q3,2025-09-30,2025Q4,181.93862317223198,140.20410556206954,223.67314078239443,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q4,2025-12-31,2025Q4,170.0471766228698,127.97862596928164,212.115727276458,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q1,2025-03-31,2025Q4,120.98757255992558,85.79468715602755,156.1804579638236,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q2,2025-06-30,2025Q4,105.03653459901794,67.27492154359051,142.79814765444536,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q3,2025-09-30,2025Q4,119.66894908038152,76.14955469322561,163.18834346753744,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q4,2025-12-31,2025Q4,153.74657332580887,106.38103419491841,201.11211245669932,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q1,2025-03-31,2025Q4,95.79291527881391,85.63741605897185,105.94841449865596,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q2,2025-06-30,2025Q4,88.8349620087932,74.54175518081549,103.12816883677091,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q3,2025-09-30,2025Q4,115.76917203111181,98.29185904209882,133.2464850201248,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q4,2025-12-31,2025Q4,97.93460364428827,77.76717775651012,118.10202953206642,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q1,2025-03-31,2025Q4,142.88751681564077,129.30006452802138,156.47496910326015,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q2,2025-06-30,2025Q4,139.88090465685562,125.81537610536415,153.9464332083471,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q3,2025-09-30,2025Q4,157.72897239629359,140.92273565197172,174.53520914061545,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q4,2025-12-31,2025Q4,172.12798999924436,154.2526289320333,190.00335106645542,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
