product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order
Маргариновая продукция,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,91.78931144622847,77.72114211156354,105.8574807808934,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,121.72763550690323,108.15251890326324,135.3027521105432,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,122.71232054888956,108.58127978547917,136.84336131229995,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q3,2025-09-30,2017Q1,2024Q4,142.849168,127.76494038029138,111.74125595891928,143.78862480166347,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,124.55146677748611,107.37402167076195,141.72891188421028,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q1,2025-03-31,2017Q1,2024Q4,,45.927954033445594,13.264431784294679,78.59147628259652,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q2,2025-06-30,2017Q1,2024Q4,,66.9232505490005,31.832339468208033,102.01416162979297,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q3,2025-09-30,2017Q1,2024Q4,,71.01091173099319,34.874436675807,107.14738678617937,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q4,2025-12-31,2017Q1,2024Q4,,53.354908262502875,17.21206171299341,89.49775481201235,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,99.34381013935707,86.91463029389666,111.77298998481749,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,96.15482299694358,83.53877888907925,108.7708671048079,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,103.51533054492465,90.32907497881217,116.70158611103713,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мука,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,115.4763885764692,101.81716776816195,129.13560938477644,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,110.00168710967503,100.72064323494774,119.28273098440232,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q2,2025-06-30,2017Q1,2024Q4,117.025071,122.38166444796252,112.8293073187381,131.93402157718694,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q3,2025-09-30,2017Q1,2024Q4,110.672012,113.61379098478646,104.01983914457615,123.20774282499677,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо домашней птицы,2025Q4,2025-12-31,2017Q1,2024Q4,139.24154,144.239817921262,134.63954198285876,153.84009385966522,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q1,2025-03-31,2017Q1,2024Q4,94.208871,98.16645966470537,92.69758513291578,103.63533419649497,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q2,2025-06-30,2017Q1,2024Q4,99.145193,100.64609380220142,94.86561920288185,106.426568401521,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q3,2025-09-30,2017Q1,2024Q4,101.458127,102.69529105470957,96.60249348336852,108.78808862605062,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Мясо животных,2025Q4,2025-12-31,2017Q1,2024Q4,114.806348,110.14649410129596,103.75678736228973,116.53620084030219,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q1,2025-03-31,2017Q1,2024Q4,134.500103,141.23983101303364,113.76685276237694,168.71280926369033,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q2,2025-06-30,2017Q1,2024Q4,121.298853,138.51822991668647,108.69746124827972,168.3389985850932,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q3,2025-09-30,2017Q1,2024Q4,146.218314,142.51868888726233,111.71844816734848,173.31892960717616,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие овощи,2025Q4,2025-12-31,2017Q1,2024Q4,155.955701,143.75492095506553,112.22382497862463,175.28601693150642,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q1,2025-03-31,2017Q1,2024Q4,117.72481,130.89637155912146,102.23879794076566,159.55394517747726,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q2,2025-06-30,2017Q1,2024Q4,107.457736,127.19787664832413,89.36921112957262,165.02654216707563,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q3,2025-09-30,2017Q1,2024Q4,129.634947,134.89193146606365,88.83745017059468,180.94641276153263,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежие фрукты,2025Q4,2025-12-31,2017Q1,2024Q4,151.739909,147.27955207933942,94.6080538184082,199.95105034027065,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q1,2025-03-31,2017Q1,2024Q4,133.490202,113.34723740299737,76.46324985204225,150.23122495395248,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q2,2025-06-30,2017Q1,2024Q4,155.856136,120.21006337683087,80.89385123901019,159.52627551465156,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q3,2025-09-30,2017Q1,2024Q4,198.713897,167.0876732277269,127.34958117019563,206.82576528525817,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Свежий картофель,2025Q4,2025-12-31,2017Q1,2024Q4,172.663824,164.5336525932032,124.69495164131239,204.37235354509397,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q1,2025-03-31,2017Q1,2024Q4,120.65094,153.37983557941175,119.2557083399339,187.5039628188896,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q2,2025-06-30,2017Q1,2024Q4,107.642837,143.99803425700753,108.35928391061067,179.6367846034044,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q3,2025-09-30,2017Q1,2024Q4,123.269423,155.71664446786457,116.53074887357499,194.90254006215415,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Стиральные машины,2025Q4,2025-12-31,2017Q1,2024Q4,146.997427,189.62629569065876,147.72189552089063,231.5306958604269,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q1,2025-03-31,2017Q1,2024Q4,90.845517,100.2626386806473,90.39209122402951,110.13318613726508,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q2,2025-06-30,2017Q1,2024Q4,81.935456,92.08664308102493,77.22398419152383,106.94930197052604,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q3,2025-09-30,2017Q1,2024Q4,113.144637,120.53908257378805,102.59153517353354,138.48662997404256,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Чай,2025Q4,2025-12-31,2017Q1,2024Q4,99.476289,101.22443260580819,80.23162395973614,122.21724125188024,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q1,2025-03-31,2017Q1,2024Q4,126.734882,127.92833157082227,116.86736691882854,138.989296222816,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q2,2025-06-30,2017Q1,2024Q4,116.898798,119.83905999297905,108.69989622298009,130.97822376297802,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q3,2025-09-30,2017Q1,2024Q4,143.770347,133.4707433382748,119.75062339054342,147.19086328600613,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
сыры,2025Q4,2025-12-31,2017Q1,2024Q4,162.427709,139.0437514126751,124.90556234732833,153.1819404780219,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
