model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,161.894399,same quarter previous year,-24.227154000000013,24.227154000000013,13.016844964752691
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,206.546718,same quarter previous year,3.1866760000000056,3.1866760000000056,1.5670118714865362
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,151.18769975314788,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",17.144538753147884,17.144538753147884,12.790312183959825
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,166.15618806042514,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",47.45324506042513,47.45324506042513,39.97646887358567
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,189.68605389018308,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",3.5645008901830693,3.5645008901830693,1.9151467590553948
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,209.70330465876543,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",6.34326265876544,6.34326265876544,3.119227649827806
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,134.043161,same quarter previous year,-11.591532,11.591532,7.95932051712431
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,118.702943,same quarter previous year,-57.903087,57.903087,32.7865854863506
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,186.121553,same quarter previous year,-21.811236000000008,21.811236000000008,10.489560643559686
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,203.360042,same quarter previous year,-19.732353000000018,19.732353000000018,8.844924095238664
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,151.0203062843982,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",5.385613284398204,5.385613284398204,3.698029070860337
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,159.954429606459,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-16.651600393541003,16.651600393541003,9.428670353747833
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,192.68484309421225,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-15.247945905787759,15.247945905787759,7.333112771255984
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,213.87554122929552,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-9.216853770704489,9.216853770704489,4.131406528090968
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,145.634693,same quarter previous year,6.783224999999987,6.783224999999987,4.885238231690851
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,176.60603,same quarter previous year,54.716476,54.716476,44.89020937758128
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,207.932789,same quarter previous year,72.48470800000001,72.48470800000001,53.51475448367557
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,223.092395,same quarter previous year,79.94279700000001,79.94279700000001,55.84563150502178
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,167.2683884160702,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",28.416920416070184,28.416920416070184,20.46569678044036
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,183.40199116094433,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",61.51243716094433,61.51243716094433,50.4657168250401
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,212.82587799621953,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",77.37779699621953,77.37779699621953,57.1272744692629
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,235.99572983961517,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",92.84613183961517,92.84613183961517,64.85951280115727
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,127.927388,127.101777,same quarter previous year,-0.825610999999995,0.825610999999995,0.6453747027180724
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,110.095155,132.502915,same quarter previous year,22.407759999999996,22.407759999999996,20.35308456580128
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,142.61635,144.196567,same quarter previous year,1.5802169999999762,1.5802169999999762,1.1080195223058058
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,137.790206,144.479088,same quarter previous year,6.688881999999978,6.688881999999978,4.854395819685455
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,127.927388,128.06986346291745,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",0.14247546291746005,0.14247546291746005,0.11137213472806938
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,110.095155,134.38430782330937,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",24.289152823309365,24.289152823309365,22.0619634200155
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,142.61635,140.47656266101185,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-2.1397873389881568,2.1397873389881568,1.5003801029742778
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,137.790206,152.70726914860762,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",14.91706314860761,14.91706314860761,10.825924121637215
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,117.294002,127.927388,same quarter previous year,10.633385999999987,10.633385999999987,9.065583762757099
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,116.837874,110.095155,same quarter previous year,-6.742718999999994,6.742718999999994,5.771004528891028
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,147.189086,142.61635,same quarter previous year,-4.572735999999992,4.572735999999992,3.106708604739887
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,142.200496,137.790206,same quarter previous year,-4.410289999999975,4.410289999999975,3.1014589428717434
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,117.294002,120.46006643928222,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",3.1660644392822093,3.1660644392822093,2.699255192334736
