ppi_product_code,period,ppi_quarterly_index,ppi_product_index_quarter_mean
M_консервы_мясные,2018Q3,103.03918934399998,98.44638054868044
M_консервы_мясные,2018Q4,100.3249700856,100.92646006271407
M_консервы_мясные,2019Q1,101.646048,101.95226530353906
M_консервы_мясные,2019Q2,97.8165212448,100.53679679845187
M_консервы_мясные,2019Q3,101.45348599200001,100.74199016911132
M_консервы_мясные,2019Q4,98.5446009792,101.16889476099561
M_консервы_мясные,2020Q1,101.42576285519999,100.7835962824941
M_консервы_мясные,2020Q2,107.42506714080002,107.28247433273755
M_консервы_мясные,2020Q3,104.29382577599999,113.68236644728385
M_консервы_мясные,2020Q4,96.6180703544,111.82236531233434
M_консервы_мясные,2021Q1,99.3018749778,108.43709578775197
M_консервы_мясные,2021Q2,100.82257485300002,109.7017466012124
M_консервы_мясные,2021Q3,103.20031855559999,111.55491556088695
M_консервы_мясные,2021Q4,103.42927702169999,115.223513029976
M_консервы_мясные,2022Q1,119.76248131279999,126.24969505183049
M_консервы_мясные,2022Q2,101.879586432,144.847681806784
M_консервы_мясные,2022Q3,100.580326847,143.62406379084538
M_консервы_мясные,2022Q4,99.52968009599999,143.1899406570527
M_консервы_мясные,2023Q1,94.6857057,138.51055206839362
M_консервы_мясные,2023Q2,102.66469299999999,138.1675399242328
M_консервы_мясные,2023Q3,97.607041686,138.07299364358153
M_консервы_мясные,2023Q4,104.322583833,140.63335647977053
M_консервы_мясные,2024Q1,104.72899277749998,142.35759281415855
M_консервы_мясные,2024Q2,101.67147022479999,151.0204762840347
M_консервы_мясные,2024Q3,97.46036439039999,148.09526316279116
M_консервы_мясные,2024Q4,99.2755705752,146.0662930239456
M_консервы_мясные,2025Q1,99.94705977960001,142.90840821442418
M_консервы_мясные,2025Q2,96.24875906100002,142.44868181448308
M_консервы_мясные,2025Q3,108.28914575720002,144.20632582499132
M_консервы_мясные,2025Q4,98.77536228559998,147.32527978192343
M_консервы_мясные,2026Q1,105.69915195000002,155.8938145516272
M_консервы_рыбные,2017Q1,102.54118256250003,99.87585833333333
M_консервы_рыбные,2017Q2,102.05827799999997,103.90483013199452
M_консервы_рыбные,2017Q3,102.05408974320001,104.21245599351728
M_консервы_рыбные,2017Q4,99.99046274160001,104.20566183292287
M_консервы_рыбные,2018Q1,98.72260013000002,103.88449113285846
M_консервы_рыбные,2018Q2,101.033074142,104.43763209980534
M_консервы_рыбные,2018Q3,102.008687964,105.24383730836632
M_консервы_рыбные,2018Q4,102.88285274400002,107.71862926545835
M_консервы_рыбные,2019Q1,100.10581,108.57779884764881
M_консервы_рыбные,2019Q2,99.979455792,110.13558021787439
M_консервы_рыбные,2019Q3,99.9450223772,109.54157379037052
M_консервы_рыбные,2019Q4,100.4468930208,109.67291001720889
M_консервы_рыбные,2020Q1,100.590496,110.3422047363407
M_консервы_рыбные,2020Q2,105.06835767890001,115.2836854774717
M_консервы_рыбные,2020Q3,102.46936626640002,118.39022367146224
M_консервы_рыбные,2020Q4,102.38781626880002,121.60040644844986
M_консервы_рыбные,2021Q1,105.57114826720002,127.53299618419855
M_консервы_рыбные,2021Q2,109.68781548170001,138.4261639440093
M_консервы_рыбные,2021Q3,101.2715870016,144.40835205869146
M_консервы_рыбные,2021Q4,98.2503469827,139.99330609124732
M_консервы_рыбные,2022Q1,103.9458834372,144.53868911707355
M_консервы_рыбные,2022Q2,103.55191180399999,155.68313317296915
M_консервы_рыбные,2022Q3,96.05545121280001,148.77654782649014
M_консервы_рыбные,2022Q4,102.91385947680003,149.74490337769282
M_консервы_рыбные,2023Q1,97.50202987320002,148.3810824285779
M_консервы_рыбные,2023Q2,101.35301559599998,147.719499502004
M_консервы_рыбные,2023Q3,101.0328391671,148.77549207930056
M_консервы_рыбные,2023Q4,103.8840143456,153.00235442680403
M_консервы_рыбные,2024Q1,102.4024623008,158.5604061235601
M_консервы_рыбные,2024Q2,107.19690997720002,165.81066693125413
M_консервы_рыбные,2024Q3,99.45266264639999,169.21701044114818
M_консервы_рыбные,2024Q4,109.4805033576,180.61633830558912
M_консервы_рыбные,2025Q1,112.613060288,206.4505254320517
M_консервы_рыбные,2025Q2,100.65412671159999,209.22226351637724
M_консервы_рыбные,2025Q3,100.527741342,215.1586790703083
M_консервы_рыбные,2025Q4,107.5166321952,223.39782174893796
M_консервы_рыбные,2026Q1,98.2882030536,224.7177493041095
M_коньяки,2017Q1,96.0561464728,99.982504
M_коньяки,2017Q2,104.10796675160002,97.93527790132447
M_коньяки,2017Q3,101.581321968,103.03094378875939
M_коньяки,2017Q4,100.19265331440002,104.63919047463507
M_коньяки,2018Q1,101.2463397507,105.39071158827475
M_коньяки,2018Q2,98.07357877240001,104.23936372002107
M_коньяки,2018Q3,100.0200906792,103.50545562082651
M_коньяки,2018Q4,96.83011629720001,102.71588864119299
M_коньяки,2019Q1,102.12576000000001,102.15976831170713
M_коньяки,2019Q2,101.1326919552,103.17301628542977
M_коньяки,2019Q3,99.51868090079999,103.28085059620169
M_коньяки,2019Q4,99.84889389720001,102.83553656842378
M_коньяки,2020Q1,102.34995249599999,104.75730180327976
M_коньяки,2020Q2,100.04763647550001,105.15946724446799
M_коньяки,2020Q3,101.3616169566,106.10083989194213
M_коньяки,2020Q4,101.1543755508,108.22423772686727
M_коньяки,2021Q1,101.92881600000001,109.62793602404761
M_коньяки,2021Q3,100.57690002570001,109.57512435152883
M_коньяки,2021Q4,98.19474846720001,109.69428556135647
M_коньяки,2022Q1,103.0724418894,110.1837829739356
M_коньяки,2022Q2,98.93655782639999,110.34182557212314
M_коньяки,2022Q3,102.74185745839999,112.9245590612514
M_коньяки,2022Q4,99.26682870510001,114.37478551477989
M_коньяки,2023Q1,105.49258159440001,118.34473770388024
M_коньяки,2023Q2,102.6679330653,122.31984922120724
M_коньяки,2023Q3,99.85758769279998,122.06535052814174
M_коньяки,2023Q4,100.910074328,123.23639029286619
M_коньяки,2024Q1,101.341605544,123.46225440891878
M_коньяки,2024Q2,108.53085276000003,134.17888811014592
M_коньяки,2024Q3,97.0857520608,134.85461998444296
M_коньяки,2024Q4,102.23601832320001,133.69617133341848
M_коньяки,2025Q1,114.02009902079999,149.22158198826176
M_коньяки,2025Q2,100.1699630019,153.6230481667666
M_коньяки,2025Q3,99.770102,153.52019860778253
M_коньяки,2025Q4,99.980001,153.43320280428452
M_коньяки,2026Q1,107.15131526249999,162.87180177460672
M_крупа_гречневая,2017Q1,78.8535034836,90.70974466666667
M_крупа_гречневая,2017Q2,90.31354605,79.25730975439241
M_крупа_гречневая,2017Q3,86.93562850919999,72.78414240899288
M_крупа_гречневая,2017Q4,83.2775914812,58.42143505851194
M_крупа_гречневая,2018Q1,86.2023752172,49.676736009681264
M_крупа_гречневая,2018Q2,111.1627532004,49.165832534403194
M_крупа_гречневая,2018Q3,96.0556809576,50.53895374724988
M_крупа_гречневая,2018Q4,113.2420417821,56.179271931191046
M_крупа_гречневая,2019Q1,99.85904399999998,59.11873167470732
M_крупа_гречневая,2019Q2,107.54905997460003,62.61375215683476
M_крупа_гречневая,2019Q3,108.06923137680002,60.805680164979286
M_крупа_гречневая,2019Q4,139.4907140968,88.66001843031353
M_крупа_гречневая,2020Q1,111.93359964799998,97.74030828463161
M_крупа_гречневая,2020Q2,116.18537239999999,122.51804704537115
M_крупа_гречневая,2020Q3,106.60902205000001,126.14700461295757
M_крупа_гречневая,2020Q4,104.02712450780001,137.27030446796482
M_крупа_гречневая,2021Q1,107.52413099999998,140.92548461007834
M_крупа_гречневая,2021Q2,104.72081,150.46628035724086
M_крупа_гречневая,2021Q3,97.744309845,146.99347645684108
M_крупа_гречневая,2021Q4,120.1822109836,170.97564029686677
M_крупа_гречневая,2022Q1,107.45217252,181.89196728350382
M_крупа_гречневая,2022Q2,98.28397962239998,196.1783690109046
M_крупа_гречневая,2022Q3,80.2215366012,171.4822069297718
M_крупа_гречневая,2022Q4,82.15687887,128.51459797050939
M_крупа_гречневая,2023Q1,89.550203652,115.28065166464715
M_крупа_гречневая,2023Q2,88.7262621674,100.18046617982924
M_крупа_гречневая,2023Q3,107.58657339660003,103.31195727641312
M_крупа_гречневая,2023Q4,89.2013844672,101.96704465550938
M_крупа_гречневая,2024Q1,88.844925664,87.58679779281992
M_крупа_гречневая,2024Q2,97.89222408959999,81.76527735370716
M_крупа_гречневая,2024Q3,94.68082116000001,79.18212416588082
M_крупа_гречневая,2024Q4,101.4402913056,78.96587690801591
M_крупа_гречневая,2025Q1,99.72602745299999,79.00428010417767
M_крупа_гречневая,2025Q2,95.8581871962,76.36916468450383
M_крупа_гречневая,2025Q3,112.96540847619998,81.96967492733376
M_крупа_гречневая,2025Q4,100.71729901839998,86.05037672505728
M_крупа_гречневая,2026Q1,105.3830154552,88.13703197691056
M_масло_подсолнечное_и_его_фракции_нерафинированные,2017Q1,94.08509223419999,97.42068633333334
M_масло_подсолнечное_и_его_фракции_нерафинированные,2017Q2,92.90156776799999,88.23530879111225
M_масло_подсолнечное_и_его_фракции_нерафинированные,2017Q3,104.4998948355,91.29914630153688
M_масло_подсолнечное_и_его_фракции_нерафинированные,2017Q4,99.98376207300001,92.62821750100774
M_масло_подсолнечное_и_его_фракции_нерафинированные,2018Q1,99.60004880640001,91.63724959298106
M_масло_подсолнечное_и_его_фракции_нерафинированные,2018Q2,106.26488132,94.60731375351959
M_масло_подсолнечное_и_его_фракции_нерафинированные,2018Q3,102.57708306959998,98.81668420465742
M_масло_подсолнечное_и_его_фракции_нерафинированные,2018Q4,98.2700687808,99.94861507175067
M_масло_подсолнечное_и_его_фракции_нерафинированные,2019Q1,98.19655,96.51552204331284
M_масло_подсолнечное_и_его_фракции_нерафинированные,2019Q2,100.41405759,97.02397155503819
M_масло_подсолнечное_и_его_фракции_нерафинированные,2019Q3,103.1785373088,97.70395447253894
M_масло_подсолнечное_и_его_фракции_нерафинированные,2019Q4,93.6080673682,95.81859414943098
M_масло_подсолнечное_и_его_фракции_нерафинированные,2020Q1,105.4774666557,96.85028499665323
M_масло_подсолнечное_и_его_фракции_нерафинированные,2020Q2,108.39109281000002,105.1571762557985
M_масло_подсолнечное_и_его_фракции_нерафинированные,2020Q3,115.0146509634,117.72681323753575
M_масло_подсолнечное_и_его_фракции_нерафинированные,2020Q4,134.1144406656,150.96766429866972
M_масло_подсолнечное_и_его_фракции_нерафинированные,2021Q1,120.0059356683,185.3943873700313
M_масло_подсолнечное_и_его_фракции_нерафинированные,2021Q2,116.80695786320001,223.312913936654
M_масло_подсолнечное_и_его_фракции_нерафинированные,2021Q3,100.348238016,223.52250396894945
M_масло_подсолнечное_и_его_фракции_нерафинированные,2021Q4,84.42721151999999,201.82886123260755
M_масло_подсолнечное_и_его_фракции_нерафинированные,2022Q1,111.99617794749999,206.98690014154317
M_масло_подсолнечное_и_его_фракции_нерафинированные,2022Q2,106.715766612,245.40946147844534
M_масло_подсолнечное_и_его_фракции_нерафинированные,2022Q3,79.627028598,201.15095688548377
M_масло_подсолнечное_и_его_фракции_нерафинированные,2022Q4,92.02762033919998,171.51457920857578
M_масло_подсолнечное_и_его_фракции_нерафинированные,2023Q1,105.9644941575,177.98083250478555
M_масло_подсолнечное_и_его_фракции_нерафинированные,2023Q2,90.67339058310002,169.54875707160392
