product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill
"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,125.3967586645305,110.03771287657362,140.75580445248738,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,123.01921485251552,98.15755632009189,147.88087338493915,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,2025-09-30,2017Q1,2024Q4,84.744027,117.29533576715106,87.36058325659172,147.2300882777104,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,140.45947477587964,105.19038606651439,175.72856348524488,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q1,2025-03-31,2017Q1,2024Q4,,49.69699733261857,39.04816729833857,60.345827366898575,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q2,2025-06-30,2017Q1,2024Q4,,38.97216766685635,27.949929270266956,49.994406063445744,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q3,2025-09-30,2017Q1,2024Q4,,46.82687972668263,35.74275430226288,57.91100515110237,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q4,2025-12-31,2017Q1,2024Q4,,58.154334052257965,47.05940287471687,69.24926522979906,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
Макаронные изделия,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,110.58816137434721,99.20566036732347,121.97066238137094,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Макаронные изделия,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,117.95740318818078,105.17177307613193,130.74303330022963,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
