product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,model_key,model_name_readable,product_code,group_code,group_name,best_group_WAPE_%,selected_features,future_exog_mode,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill,agg_exog_columns
Мясо животных,2025Q3,2025-09-30,2017Q1,2024Q4,101.458127,102.69529105470956,96.60249348336852,108.78808862605062,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_животных,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Мясо животных,2025Q4,2025-12-31,2017Q1,2024Q4,114.806348,110.14649410129596,103.75678736228971,116.5362008403022,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_животных,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Свежие овощи,2025Q1,2025-03-31,2017Q1,2024Q4,134.500103,141.23983101303364,113.76685276237694,168.71280926369033,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_овощи,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие овощи,2025Q2,2025-06-30,2017Q1,2024Q4,121.298853,138.5182299166865,108.69746124827972,168.3389985850932,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_овощи,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие овощи,2025Q3,2025-09-30,2017Q1,2024Q4,146.218314,142.51868888726233,111.71844816734848,173.31892960717616,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_овощи,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие овощи,2025Q4,2025-12-31,2017Q1,2024Q4,155.955701,143.75492095506553,112.22382497862463,175.28601693150642,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_овощи,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие фрукты,2025Q1,2025-03-31,2017Q1,2024Q4,117.72481,130.89637155912146,102.23879794076566,159.55394517747726,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_фрукты,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие фрукты,2025Q2,2025-06-30,2017Q1,2024Q4,107.457736,127.19787664832413,89.36921112957262,165.02654216707563,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_фрукты,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие фрукты,2025Q3,2025-09-30,2017Q1,2024Q4,129.634947,134.89193146606365,88.83745017059468,180.94641276153263,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_фрукты,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежие фрукты,2025Q4,2025-12-31,2017Q1,2024Q4,151.739909,147.27955207933942,94.6080538184082,199.95105034027063,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежие_фрукты,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежий картофель,2025Q1,2025-03-31,2017Q1,2024Q4,133.490202,113.34723740299737,76.46324985204225,150.23122495395248,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежий_картофель,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежий картофель,2025Q2,2025-06-30,2017Q1,2024Q4,155.856136,120.21006337683087,80.89385123901019,159.52627551465156,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежий_картофель,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежий картофель,2025Q3,2025-09-30,2017Q1,2024Q4,198.713897,167.0876732277269,127.34958117019563,206.82576528525817,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежий_картофель,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Свежий картофель,2025Q4,2025-12-31,2017Q1,2024Q4,172.663824,164.5336525932032,124.6949516413124,204.372353545094,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_свежий_картофель,G04,"Овощи, фрукты и картофель",10.32,,,,,,
Маргариновая продукция,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,80.10671227493731,70.73557867293434,89.47784587694028,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_маргариновая_продукция,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Маргариновая продукция,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,83.45352587452248,74.18874999091611,92.71830175812886,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_маргариновая_продукция,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Маргариновая продукция,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,86.12877620776453,76.8643269465262,95.39322546900286,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_маргариновая_продукция,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Маргариновая продукция,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,99.70080434802244,90.43633250946418,108.96527618658072,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_маргариновая_продукция,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Чай,2025Q1,2025-03-31,2017Q1,2024Q4,90.845517,97.6800402314417,89.11282151766412,106.24725894521929,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_чай,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Чай,2025Q2,2025-06-30,2017Q1,2024Q4,81.935456,86.46446140324578,73.56641298988748,99.36250981660407,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_чай,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Чай,2025Q3,2025-09-30,2017Q1,2024Q4,113.144637,112.0288553633418,96.3977769516318,127.6599337750518,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_чай,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Чай,2025Q4,2025-12-31,2017Q1,2024Q4,99.476289,88.49197393771054,70.24803563345725,106.73591224196385,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",exog,SARIMAX с внешними признаками,S_чай,G05,"Бакалея, масло, сахар, чай, соль",6.82,,,consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0.0,0.0,
Стиральные машины,2025Q1,2025-03-31,2017Q1,2024Q4,120.65094,122.8622329231521,106.39027168725434,139.33419415904987,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_стиральные_машины,G07,"Товары для дома, гигиены и бытовая химия",11.49,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
