product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,selected_features,future_exog_mode
Макаронные изделия,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,118.60267751762771,100.10033391188148,137.10502112337394,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Макаронные изделия,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,128.5673053153788,109.31703331715039,147.81757731360722,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Макаронные изделия,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,111.62860628651185,91.65839784727778,131.5988147257459,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Маргариновая продукция,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,83.91748138000537,69.73631707568875,98.098645684322,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Маргариновая продукция,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,83.3823498359791,68.79240944109537,97.97229023086282,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Маргариновая продукция,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,83.24159581361187,68.25402428162258,98.22916734560116,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Маргариновая продукция,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,91.42242404393534,76.04750160098521,106.79734648688546,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молоко питьевое,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,122.49209800183549,108.98991095441473,135.99428504925623,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молоко питьевое,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,123.01002371322208,108.37968753804657,137.6403598883976,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молоко питьевое,2025Q3,2025-09-30,2017Q1,2024Q4,142.849168,128.4584694968724,112.78095636073496,144.13598263300983,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
