feature_mode,product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_consumer_price_index_mean,-37.417552686306124,33.30171334831594,-6.468389042781602e-14,73.35978911613171,21.5431625987827,174.8044073519273,188.9879592455854
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_income_index_mean,10.339374652455735,8.777188681409651,-2.1438789441037505e-15,17.780615583427693,5.678038272267015,174.8044073519273,188.9879592455854
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_stock_days_mean_mean,-10.011725078931399,8.164371200585697,-1.3475810505795004e-14,24.49260689752183,5.281601413457933,174.8044073519273,188.9879592455854
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_stock_value_mean_thousand_rub_mean,30.115957169047842,27.04740605021497,1.9601178917520006e-14,49.103972473088106,17.49719782644596,174.8044073519273,188.9879592455854
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,consumer_price_index,-13.362811777244728,11.892935143675617,-2.2663863123382506e-14,26.19874854444975,20.35081935398089,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,income_index,10.516244857152254,8.927335398297618,-2.1438789441037505e-15,18.084779154589516,15.27617764734606,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_days_mean,-2.7163335602205447,2.215118305327668,-3.606310652403095e-15,6.645217439403443,3.790441294333624,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_value_mean_thousand_rub,6.886031669943291,6.184405616136842,4.165250519973001e-15,11.22765275802784,10.582561830640598,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_consumer_price_index_mean,-13.362811802640294,11.892935166277733,-2.3521414701024006e-14,26.198748594239575,20.35081939265692,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_income_index_mean,10.516244833450306,8.927335378176819,-2.2663863123382508e-15,18.084779113829292,15.276177612915976,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_stock_days_mean_mean,-2.7163334570770816,2.2151182212161364,-3.671392691777673e-15,6.6452171870740715,3.790441150404597,135.96618319844313,150.14973509210125
full_exog,Дизельное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,group_stock_value_mean_thousand_rub_mean,6.886031596467167,6.1844055501472885,4.655279992911001e-15,11.227652638225253,10.582561717721333,135.96618319844313,150.14973509210125
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,-9.292688178777093,8.181332520351114,5.551115123125783e-15,21.206501090497223,10.684195923695656,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,2.6103439404979456,2.0856981363252123,-8.881784197001252e-16,8.105565488944492,2.7237625986663976,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,-1.0420928254913266,0.8506824459549018,-2.095545958979983e-15,2.619871693158575,1.1109263556788853,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,30.963962664494485,27.169363350974905,-7.549516567451064e-15,63.018590598965545,35.48111514130638,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_consumer_price_index_mean,-9.292688156257192,8.181332500524473,5.329070518200751e-15,21.20650103910539,10.684195897803576,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_income_index_mean,2.6103439410489178,2.085698136765446,-9.992007221626409e-16,8.105565490655357,2.7237625992413093,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_stock_days_mean_mean,-1.0420928115314665,0.8506824345591723,-2.1094237467877974e-15,2.619871658062812,1.110926340796932,200.8762931400121,216.7216788632987
full_exog,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,30.963962665807415,27.16936335212694,-7.105427357601002e-15,63.018590601637655,35.48111514281086,200.8762931400121,216.7216788632987
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,consumer_price_index,-0.18096078751230815,0.16082393996043848,1.700029006457271e-16,0.36194312322279887,2.059116480871682,191.23970893697307,207.08509466025967
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,income_index,0.9886679497595624,0.789958314789978,-3.885780586188048e-16,3.0699834949979548,10.114266480387185,191.23970893697307,207.08509466025967
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_days_mean,-1.2829195018940502,1.0472743628379948,-2.5951463200613034e-15,3.225321588821643,13.408823966410587,191.23970893697307,207.08509466025967
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,2.1734682396486775,1.9071121152891624,-4.718447854656915e-16,4.423494068197311,24.41779494040486,191.23970893697307,207.08509466025967
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_consumer_price_index_mean,-0.1809607089733397,0.16082387016108293,1.6653345369377348e-16,0.36194296613550986,2.0591155871925233,191.23970893697307,207.08509466025967
