Код группы,Название группы,product_name_norm,Товар,source_sales,source_consumer_price,source_producer_price,sales_product_code,price_product_code,ppi_product_code,original_group_code,original_group_name,has_any_sales_or_price_for_model,source_description
G07,"Товары для дома, гигиены и бытовая химия",прокладки женские гигиенические,"Прокладки женские гигиенические, 10 шт.",0,1,0,,P_прокладки_женские_гигиенические_10_шт,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",стиральные машины,Стиральные машины,1,0,0,S_стиральные_машины,,,G07,"Товары для дома, гигиены и бытовая химия",1,продажи
G07,"Товары для дома, гигиены и бытовая химия",шампунь,"Шампунь, 250 мл",0,1,0,,P_шампунь_250_мл,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",щетка зубная,"Щетка зубная, шт.",0,1,0,,P_щетка_зубная_шт,,G99,Прочее,1,потребительская цена
G10,Топливо и транспортные товары,газ сжиженный,"Газ сжиженный, м3",0,1,0,,P_газ_сжиженный_м3,,G99,Прочее,1,потребительская цена
G10,Топливо и транспортные товары,газовое моторное топливо,Газовое моторное топливо,1,0,0,S_газовое_моторное_топливо,,,G10,Топливо и транспортные товары,1,продажи
G10,Топливо и транспортные товары,дизельное топливо,Дизельное топливо,1,1,0,S_дизельное_топливо,P_дизельное_топливо_л,,G10,Топливо и транспортные товары,1,продажи; потребительская цена
G10,Топливо и транспортные товары,лампы накаливания (включая галогенные,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",1,0,0,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,,,G10,Топливо и транспортные товары,1,продажи
G10,Топливо и транспортные товары,топливо дизельное,Топливо дизельное,0,0,1,,,M_топливо_дизельное,G10,Топливо и транспортные товары,0,цена производителя
G99,Прочее,активированный уголь,"Активированный уголь, 10 таблеток",0,1,0,,P_активированный_уголь_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,аллохол,"Аллохол, 50 таблеток",0,1,0,,P_аллохол_50_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,"алмагель, суспензия","Алмагель, суспензия, 200 мл",0,1,0,,P_алмагель_суспензия_200_мл,,G99,Прочее,1,потребительская цена
G99,Прочее,аудиоаппаратура,Аудиоаппаратура,1,0,0,S_аудиоаппаратура,,,G99,Прочее,1,продажи
G99,Прочее,"бромгексин, 8 мг","Бромгексин, 8 мг, 10 драже",0,1,0,,P_бромгексин_8_мг_10_драже,,G99,Прочее,1,потребительская цена
G99,Прочее,брюки для детей школьного возраста из джинсовой ткани,"Брюки для детей школьного возраста из джинсовой ткани, шт.",0,1,0,,P_брюки_для_детей_школьного_возраста_из_джинсовой_ткани_шт,,G99,Прочее,1,потребительская цена
G99,Прочее,валидол,"Валидол, 10 таблеток",0,1,0,,P_валидол_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,"валидол, 60 мг","Валидол, 60 мг, 10 таблеток",0,1,0,,P_валидол_60_мг_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,валокордин,"Валокордин, 20 мл",0,1,0,,P_валокордин_20_мл,,G99,Прочее,1,потребительская цена
G99,Прочее,вода питьевая,Вода питьевая,0,0,1,,,M_вода_питьевая,G99,Прочее,0,цена производителя
G99,Прочее,водка,Водка,0,1,1,,P_водка_л,M_водка,G99,Прочее,1,потребительская цена; цена производителя
G99,Прочее,водка крепостью 40% об. спирта и выше,"Водка крепостью 40% об. спирта и выше, л",0,1,0,,P_водка_крепостью_40_об_спирта_и_выше_л,,G99,Прочее,1,потребительская цена
G99,Прочее,водка крепостью 40% об.спирта и выше,"Водка крепостью 40% об.спирта и выше, л",0,1,0,,P_водка_крепостью_40_об_спирта_и_выше_л,,G99,Прочее,1,потребительская цена
G99,Прочее,всего по розничной торговле,Всего по розничной торговле,1,0,0,S_всего_по_розничной_торговле,,,G99,Прочее,1,продажи
G99,Прочее,газ горючий природный (газ естественный),Газ горючий природный (газ естественный),0,0,1,,,M_газ_горючий_природный_газ_естественный,G99,Прочее,0,цена производителя
G99,Прочее,доска обрезная,"Доска обрезная, м3",0,1,0,,P_доска_обрезная_м3,,G99,Прочее,1,потребительская цена
G99,Прочее,колготки женские эластичные,"Колготки женские эластичные, шт.",0,1,0,,P_колготки_женские_эластичные_шт,,G99,Прочее,1,потребительская цена
G99,Прочее,комбинированные анальгетики,"Комбинированные анальгетики, 10 таблеток",0,1,0,,P_комбинированные_анальгетики_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,компримированный природный газ,Компримированный природный газ,1,0,0,S_компримированный_природный_газ,,,G99,Прочее,1,продажи
G99,Прочее,коньяки,Коньяки,0,0,1,,,M_коньяки,G99,Прочее,0,цена производителя
G99,Прочее,корвалол,"Корвалол, 25 мл",0,1,0,,P_корвалол_25_мл,,G99,Прочее,1,потребительская цена
G99,Прочее,костюм спортивный для детей школьного возраста,"Костюм спортивный для детей школьного возраста, шт.",0,1,0,,P_костюм_спортивный_для_детей_школьного_возраста_шт,,G99,Прочее,1,потребительская цена
G99,Прочее,кроссовые туфли для взрослых с верхом из искусственной кожи,"Кроссовые туфли для взрослых с верхом из искусственной кожи, пара",0,1,0,,P_кроссовые_туфли_для_взрослых_с_верхом_из_искусственной_кожи_пара,,G99,Прочее,1,потребительская цена
G99,Прочее,кроссовые туфли для взрослых,"Кроссовые туфли для взрослых, пара",0,1,0,,P_кроссовые_туфли_для_взрослых_пара,,G99,Прочее,1,потребительская цена
G99,Прочее,кроссовые туфли для детей,"Кроссовые туфли для детей, пара",0,1,0,,P_кроссовые_туфли_для_детей_пара,,G99,Прочее,1,потребительская цена
G99,Прочее,лампы газоразрядные люминесцентные,Лампы газоразрядные люминесцентные,1,0,0,S_лампы_газоразрядные_люминесцентные,,,G99,Прочее,1,продажи
G99,Прочее,лампы осветительные (бытовые),Лампы осветительные (бытовые),1,0,0,S_лампы_осветительные_бытовые,,,G99,Прочее,1,продажи
G99,Прочее,лампы светодиодные,Лампы светодиодные,1,0,0,S_лампы_светодиодные,,,G99,Прочее,1,продажи
G99,Прочее,"левомеколь, мазь","Левомеколь, мазь, 40 г",0,1,0,,P_левомеколь_мазь_40_г,,G99,Прочее,1,потребительская цена
G99,Прочее,лизобакт,"Лизобакт, 10 таблеток",0,1,0,,P_лизобакт_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,линекс,"Линекс, 10 капсул",0,1,0,,P_линекс_10_капсул,,G99,Прочее,1,потребительская цена
G99,Прочее,"майка, футболка мужская бельевая","Майка, футболка мужская бельевая, шт.",0,1,0,,P_майка_футболка_мужская_бельевая_шт,,G99,Прочее,1,потребительская цена
G99,Прочее,метамизол натрия (анальгин отечественный),"Метамизол натрия (Анальгин отечественный), 10 таблеток",0,1,0,,P_метамизол_натрия_анальгин_отечественный_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,"метамизол натрия (анальгин отечественный), 500 мг","Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",0,1,0,,P_метамизол_натрия_анальгин_отечественный_500_мг_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,метамизол натрия,"Метамизол натрия, 10 таблеток",0,1,0,,P_метамизол_натрия_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,мобильные телефоны,Мобильные телефоны,1,0,0,S_мобильные_телефоны,,,G99,Прочее,1,продажи
G99,Прочее,мотоциклы,Мотоциклы,1,0,0,S_мотоциклы,,,G99,Прочее,1,продажи
G99,Прочее,"нафазолин, 0,1%","Нафазолин, 0,1%, 15 мл",0,1,0,,P_нафазолин_0_1_15_мл,,G99,Прочее,1,потребительская цена
G99,Прочее,нефть обезвоженная,"Нефть обезвоженная, обессоленная и стабилизированная",0,0,1,,,M_нефть_обезвоженная_обессоленная_и_стабилизированная,G99,Прочее,0,цена производителя
G99,Прочее,нимесулид,"Нимесулид, 10 таблеток",0,1,0,,P_нимесулид_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,"нимесулид, 100 мг","Нимесулид, 100 мг, 10 таблеток",0,1,0,,P_нимесулид_100_мг_10_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,носки мужские,"Носки мужские, пара",0,1,0,,P_носки_мужские_пара,,G99,Прочее,1,потребительская цена
G99,Прочее,"носки, гольфы детские","Носки, гольфы детские, пара",0,1,0,,P_носки_гольфы_детские_пара,,G99,Прочее,1,потребительская цена
G99,Прочее,офтан катахром,"Офтан катахром, 10 мл",0,1,0,,P_офтан_катахром_10_мл,,G99,Прочее,1,потребительская цена
G99,Прочее,пенталгин,"Пенталгин, 24 таблетки",0,1,0,,P_пенталгин_24_таблетки,,G99,Прочее,1,потребительская цена
G99,Прочее,пиломатериалы лиственных пород,Пиломатериалы лиственных пород,0,0,1,,,M_пиломатериалы_лиственных_пород,G99,Прочее,0,цена производителя
G99,Прочее,пиломатериалы хвойных пород,Пиломатериалы хвойных пород,0,0,1,,,M_пиломатериалы_хвойных_пород,G99,Прочее,0,цена производителя
G99,Прочее,"плиты древесностружечные, ориентированно-стружечные","Плиты древесностружечные, ориентированно-стружечные, м2",0,1,0,,P_плиты_древесностружечные_ориентированно_стружечные_м2,,G99,Прочее,1,потребительская цена
G99,Прочее,поливитамины с макро- и микроэлементами,"Поливитамины с макро- и микроэлементами, 10 шт.",0,1,0,,P_поливитамины_с_макро_и_микроэлементами_10_шт,,G99,Прочее,1,потребительская цена
G99,Прочее,поливитамины,"Поливитамины, 10 шт.",0,1,0,,P_поливитамины_10_шт,,G99,Прочее,1,потребительская цена
G99,Прочее,ренгалин,"Ренгалин, 10 таблеток",0,1,0,,P_ренгалин_10_таблеток; P_ренгалин_20_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,ренни,"Ренни, 12 таблеток",0,1,0,,P_ренни_12_таблеток,,G99,Прочее,1,потребительская цена
G99,Прочее,римантадин,"Римантадин, 10 таблеток",0,1,0,,P_римантадин_10_таблеток,,G99,Прочее,1,потребительская цена
