model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,selected_features,order,seasonal_order,error,abs_error,ape_%
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,147.189086,144.9765279893462,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-2.212558010653794,2.212558010653794,1.503207928510266
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,142.200496,135.9810989085684,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-6.219397091431574,6.219397091431574,4.373681714465731
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,137.370662,114.91380800478724,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-22.456853995212768,22.456853995212768,16.34763469015878
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,113.162683,119.05088187268244,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",5.8881988726824375,5.8881988726824375,5.203304407940237
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,154.855532,152.57341084062207,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-2.2821211593779367,2.2821211593779367,1.4737098054578615
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,141.706795,140.8665120141123,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-0.8402829858877112,0.8402829858877112,0.5929729663900106
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q1,2023-03-31,2017Q1,2022Q4,116.332724,124.33061653627283,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",7.997892536272829,7.997892536272829,6.8750152676497365
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q2,2023-06-30,2017Q1,2022Q4,115.624451,125.3647816194981,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",9.74033061949811,9.74033061949811,8.42410972355502
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q3,2023-09-30,2017Q1,2022Q4,112.542415,128.13687161835747,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",15.59445661835747,15.59445661835747,13.85651500223935
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q4,2023-12-31,2017Q1,2022Q4,143.93374,141.9794552529954,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",-1.954284747004607,1.954284747004607,1.357766946794134
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q1,2024-03-31,2017Q1,2023Q4,119.399194,121.33877272428279,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",1.9395787242827964,1.9395787242827964,1.6244487582410285
