step,candidate_feature,selected_features,order,seasonal_order,WAPE_%,accepted,improvement_pp,product_name
2,income_index_lag4_minus_market,income_index_lag8; income_index_lag4_minus_market,"(2, 1, 2)","(0, 0, 1, 4)",11.476874897275506,False,-0.07906814007583485,Свежий картофель
0,,,"(2, 1, 1)","(0, 0, 0, 4)",15.447422531117748,True,,Стиральные машины
1,income_index_lag4_vs_lag8_pct,income_index_lag4_vs_lag8_pct,"(2, 1, 1)","(0, 0, 1, 4)",12.253251440201762,True,3.1941710909159866,Стиральные машины
2,stock_days_mean_lag4,income_index_lag4_vs_lag8_pct; stock_days_mean_lag4,"(1, 1, 1)","(1, 0, 0, 4)",10.651716323249019,True,1.6015351169527428,Стиральные машины
3,income_index_lag4_minus_market,income_index_lag4_vs_lag8_pct; stock_days_mean_lag4; income_index_lag4_minus_market,"(1, 1, 1)","(1, 0, 0, 4)",10.485351423163983,True,0.16636490008503557,Стиральные машины
0,,,"(2, 1, 2)","(1, 0, 1, 4)",3.7709984492479642,True,,Чай
1,consumer_price_index_lag4_minus_market,consumer_price_index_lag4_minus_market,"(1, 1, 0)","(1, 0, 1, 4)",3.273341230753485,True,0.4976572184944792,Чай
2,physical_volume_index_lag4_minus_group,consumer_price_index_lag4_minus_market; physical_volume_index_lag4_minus_group,"(1, 1, 0)","(1, 0, 1, 4)",3.18908933411936,False,0.08425189663412525,Чай
0,,,"(2, 1, 1)","(1, 0, 1, 4)",6.247476441178952,True,,сыры
1,income_index_lag4,income_index_lag4,"(2, 1, 1)","(1, 0, 1, 4)",4.230717703229045,True,2.016758737949907,сыры
2,stock_days_mean_lag4_vs_lag8,income_index_lag4; stock_days_mean_lag4_vs_lag8,"(2, 1, 1)","(1, 0, 1, 4)",3.754924834336473,True,0.4757928688925719,сыры
3,stock_days_mean_lag4_vs_lag8_pct,income_index_lag4; stock_days_mean_lag4_vs_lag8; stock_days_mean_lag4_vs_lag8_pct,"(1, 1, 2)","(1, 0, 0, 4)",3.484603709346005,True,0.27032112499046823,сыры
