model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,101.717264,same quarter previous year,7.855446999999998,7.855446999999998,8.369161445063437
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,86.052351,same quarter previous year,-15.503648999999996,15.503648999999996,15.266108354011577
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,123.377583,same quarter previous year,4.590845000000002,4.590845000000002,3.864779079967666
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,110.413409,same quarter previous year,3.841620000000006,3.841620000000006,3.604725074100057
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,93.79914729335354,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",-0.0626697066464601,0.0626697066464601,0.0667680518548454
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,104.85029063200345,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",3.2942906320034524,3.2942906320034524,3.2438168419428224
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,114.0065063881038,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",-4.780231611896198,4.780231611896198,4.02421321805823
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,105.36104125433573,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",-1.2107477456642641,1.2107477456642641,1.1360865356818437
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,94.20014552781207,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",0.3383285278120667,0.3383285278120667,0.36045384441265044
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,96.44592207586857,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-5.110077924131431,5.110077924131431,5.031783374819244
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,117.51017039686592,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-1.2765676031340831,1.2765676031340831,1.0746718233260038
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,108.02828797709877,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",1.456498977098775,1.456498977098775,1.3666834260413656
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,123.835645,same quarter previous year,-10.207515999999998,10.207515999999998,7.615096453895173
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,143.58147,same quarter previous year,24.87852699999999,24.87852699999999,20.95864379706238
