model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
lightgbm_global,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,10.292121741704948,12.090642457557637,8.466977805078422,8.556389377391199
sarimax,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.572743763320036,3.4649120895455687,2.453191696636696,2.4932222445283934
prophet,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.730612253843082,3.593346377430966,2.6823468785572597,2.646211142176812
seasonal_naive,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.8029089999999974,3.299149600719553,2.7301829250845526,2.7162732518572708
lightgbm_global,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,4.166877164118646,5.3456435594054845,3.9910342866887714,4.038082215537632
sarimax,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,6.025001976392091,8.622210222296797,4.437742254944007,4.280886400017916
lightgbm_global,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,9.813638457965304,12.191425900633485,7.204326142891038,6.972789647872224
prophet,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,12.481583853809832,15.5879422873017,8.928831316007535,8.868419094271264
seasonal_naive,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,12.955230416666668,15.974853369865261,9.48233070263272,9.20495460700536
lightgbm_global,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,8.853587803504317,13.634157386867798,6.507087913145369,6.756181500228223
prophet,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,10.527526031177171,12.663206642127031,7.950611245230236,8.033565396715
